word,phonetic,definition,translation,pos,collins,oxford,tag,bnc,frq,exchange
spread,spred,n. process or result of distributing or extending over a wide expanse of space\nn. a tasty mixture to be spread on bread or crackers or used in preparing other dishes\nn. two facing pages of a book or other publication\nn. the expansion of a person's girth (especially at middle age),"n. 传播, 散布, 伸展\na. 双唇展开的, 伸展的\nvt. 展开, 铺开, 传播, 推广, 伸出, 涂, 敷, 延伸\nvi. 展开, 扩大, 传开, 延伸\n[计] 展开",,4,1,zk gk cet4 cet6 ky,1575,1371,d:spread/0:spread/1:dp/p:spread/i:spreading/3:spreads/s:spreads
spring,spriŋ,n. the season of growth\nn. a metal elastic device that returns to its shape or position when pushed or pulled or pressed\nn. a natural flow of ground water\nn. a point at which water issues forth,"n. 春天, 弹簧, 跳跃, 弹性, 活力, 泉, 源泉\na. 春天的\nvi. 跳, 弹跳, 涌出, 生长, 裂开, 高耸\nvt. 使跳起, 使爆炸, 突然提出",,4,1,zk gk toefl ielts,1503,901,s:springs/p:sprang/d:sprung/i:springing/3:springs
spy,spai,"n. (military) a secret agent hired by a state to obtain information about its enemies or by a business to obtain industrial secrets from competitors\nn. a secret watcher; someone who secretly watches other people\nv. watch, observe, or inquire secretly\nv. catch sight of; to perceive with the eyes","n. 间谍, 侦探, 侦察\nvt. 侦察, 找出, 发现\nvi. 做密探, 侦查",,2,,gk cet4 cet6 ky,6072,4846,s:spies/i:spying/p:spied/d:spied/3:spies
square,skwєә,n. (geometry) a plane rectangle with four equal sides and four right angles; a four-sided regular polygon\nn. the product of two equal terms\nn. something approximating the shape of a square\nn. someone who doesn't understand what is going on,"n. 正方形, 街区, 广场, 平方, 直角尺\na. 正方形的, 正直的, 公正的, 平方的, 方正的, 结清的\nadv. 成直角地, 对准地\nvi. 一致, 符合, 结清\nvt. 使成方形, 使平方自乘, 调正, 结清, 使一致",,4,1,zk gk cet4 cet6 ky toefl ielts gre,1802,2747,s:squares/d:squared/i:squaring/p:squared/3:squares
squeeze,skwi:z,n. the act of gripping and pressing firmly\nn. a situation in which increased costs cannot be passed on to the customer\nn. (slang) a person's girlfriend or boyfriend\nn. a twisting squeeze,"n. 紧握, 挤, 榨, 榨取, 佣金\nvt. 紧握, 挤, 榨取\nvi. 压榨, 榨",,3,1,gk cet4 cet6 ky toefl ielts gre,3390,2891,p:squeezed/d:squeezed/i:squeezing/3:squeezes/s:squeezes
squid,skwid,n. (Italian cuisine) squid prepared as food\nn. widely distributed fast-moving ten-armed cephalopod mollusk having a long tapered body with triangular tail fins,"n. 枪乌贼, 鱿鱼, 反潜水雷发射装置\n[电] 超导量子干涉元件",,1,,gk,16736,11582,s:squids
squirrel,'skwә:rәl,n. a kind of arboreal rodent having a long bushy tail\nn. the fur of a squirrel,"n. 松鼠, 松鼠毛皮\nvt. 贮藏",,1,,gk cet4 cet6 ky toefl gre,10225,6904,s:squirrels/i:squirrelling/p:squirrelled/d:squirrelled
stable,'steibl,n. a farm building for housing horses or other livestock\nv. shelter in a stable\na. resistant to change of position or condition\ns. firm and dependable; subject to little fluctuation,"n. 马房, 牛棚\na. 稳定的, 安定的, 坚固的, 坚定的\nvt. 赶入马房\nvi. 被关在马厩",,4,1,gk cet4 cet6 ky toefl,2637,2903,s:stables/p:stabled/d:stabled/i:stabling/3:stables
stadium,'steidiәm,n. a large structure for open-air sports or entertainments,"n. 露天大型运动场\n[医] 期, 病期",,3,,gk cet4 cet6 ky ielts,5803,4128,s:stadia
staff,stɑ:f,n. personnel who assist their superior in carrying out an assigned task\nn. a strong rod or stick with a specialized utilitarian purpose\nn. the body of teachers and administrators at a school\nn. building material consisting of plaster and hair; used to cover external surfaces of temporary structure (as at an exposition) or for decoration,"n. 全体人员, 工作班子, 棍棒, 杆, 拐杖, 支柱, 权杖\na. 职员的, 雇员的, 参谋的\nvt. 为...配备人员",,5,1,gk cet4 cet6 ky toefl ielts,423,784,d:staffed/s:staffs/i:staffing/p:staffed/3:staffs
stage,steidʒ,n. a large platform on which people can stand and can be seen by an audience\nn. the theater as a profession (usually `the stage')\nn. a section or portion of a journey or course\nn. any scene regarded as a setting for exhibiting or doing something,"n. 阶段, 舞台, 场所, 戏剧, 站, 驿站, 级, 层, 脚手架\nvt. 上演, 表演, 筹划\nvi. 适于上演, 乘驿车旅行",,5,1,gk cet4 cet6 ky ielts,482,829,s:stages/d:staged/p:staged/i:staging/3:stages
stain,stein,n. a soiled or discolored appearance\nn. (microscopy) a dye or other coloring material that is used in microscopy to make structures visible\nv. color with a liquid dye or tint\nv. produce or leave stains,"n. 污染, 污点, 着色剂\nvt. 沾染, 染污, 着色\nvi. 变脏",,2,,gk cet4 cet6 ky toefl ielts gre,5778,6708,d:stained/i:staining/s:stains/p:stained/3:stains
stainless,'steinlis,s. (of reputation) free from blemishes,"a. 无瑕疵的, 不锈的\n[机] 不绣的, 污染的",,,,gk cet6,11524,8262,
stair,stєә,n support consisting of a place to rest the foot while ascending or descending a stairway,"n. 梯级, 楼梯, 阶梯",,2,1,gk cet4 cet6 ky,0,2863,
stamp,stæmp,n. a type or class\nn. a symbol that is the result of printing or engraving\nn. machine consisting of a heavy bar that moves vertically for pounding or crushing ores\nn. a block or die used to imprint a mark or design,"n. 印, 邮票, 打印器, 戳子, 图章, 印花税票, 标志, 特征, 类型, 跺脚\nvt. 盖章于, 顿足, 贴上邮票, 铭刻, 捣碎, 扑灭\nvi. 捣碎, 跺脚",,3,1,zk gk toefl gre,3923,5139,s:stamps/p:stamped/d:stamped/i:stamping/3:stamps
stand,stænd,n. the position where a thing or person stands\nn. a growth of similar plants (usually trees) in a particular area\nn. a small table for holding articles of various kinds\nn. an interruption of normal activity,"n. 站立, 站住, 停顿, 讲台, 看台, 立场, 法院证人席\nvi. 站, 立, 坐落, 停滞, 位于, 坚持, 维持原状\nvt. 忍受, 使站立, 抵挡",,5,1,zk gk toefl ielts,273,281,p:stood/i:standing/3:stands/d:stood/s:stands
standard,'stændәd,n. a basis for comparison; a reference point against which other things can be evaluated\nn. a board measure = 1980 board feet\nn. the value behind the money in a monetary system\nn. an upright pole or beam (especially one used as a support),"n. 标准, 规格, 旗, 军旗, 本位\na. 标准的, 合规格的\n[计] 标准",,4,1,zk gk cet4 cet6 ky toefl ielts,653,806,s:standards
star,stɑ:,n. (astronomy) a celestial body of hot gases that radiates energy derived from thermonuclear reactions in the interior\nn. any celestial body visible (as a point of light) from the Earth at night\nn. an actor who plays a principal role\nn. a plane figure with 5 or more points; often used as an emblem,"n. 星, 恒星, 星形物, 运气, 明星\nvt. 以星状物装饰, 用星号标, 使成为明星\nvi. 变成明星",,5,1,zk gk ielts,1001,538,s:stars/i:starring/p:starred/3:stars/d:starred
stare,stєә,n. a fixed look with eyes open wide\nv. fixate one's eyes,"vi. 注视, 凝视, 瞪视, 显眼\nvt. 盯\nn. 凝视",,3,1,gk cet4 cet6 ky toefl,1192,1131,p:stared/i:staring/3:stares/d:stared/s:stares
start,stɑ:t,n. the beginning of anything\nn. a turn to be a starter (in a game at the beginning)\nn. a line indicating the location of the start of a race or a game\nn. the advantage gained by beginning early (as in a race),"n. 惊起, 出发, 开端, 起点, 吃惊, 有利条件\nvi. 开始, 出发, 启动, 跳起, 吃惊, 出现, 松动, 脱落, 起价, 参赛\nvt. 使惊起, 开动, 发动, 启动, 开始, 创办, 提议, 使松动, 使脱落, 起用\n[计] 起始",,5,1,zk gk,205,173,p:started/d:started/3:starts/i:starting/s:starts
starvation,stɑ:'veiʃәn,n. a state of extreme hunger resulting from lack of essential nutrients over a prolonged period\nn. the act of depriving of food or subjecting to famine,"n. 饥饿, 饿死\n[医] 绝食, 饥锇(指长时期的)",,2,,gk cet4 toefl,8598,9590,s:starvations
starve,stɑ:v,v. be hungry; go without food\nv. die of food deprivation\nv. deprive of food\nv. deprive of a necessity and cause suffering,"v. (使)饿死, (使)挨饿",,2,,gk cet4 cet6 ky toefl ielts,7555,7450,d:starved/i:starving/p:starved/3:starves
state,steit,n. the territory occupied by one of the constituent administrative districts of a nation\nn. the way something is with respect to its main attributes\nn. the group of people comprising the government of a sovereign state\nn. a politically organized body of people under a single government,"n. 州, 状态, 情形, 国家, 政府, 领土, 国务, 社会地位\na. 国家的, 正式的, 礼仪用的, 州的\nvt. 说明, 陈述, 规定\n[计] 状态",,5,1,zk gk cet4 cet6 ky,194,137,s:states/p:stated/d:stated/3:states/i:stating
statement,'steitmәnt,n. a message that is stated or declared; a communication (oral or written) setting forth particulars or facts etc\nn. (music) the presentation of a musical theme\nn. a nonverbal message\nn. a document showing credits and debits,"n. 陈述, 指令, 声明\n[计] 程序语句; 语句",,4,1,gk cet4 cet6 ky ielts,717,921,s:statements
station,'steiʃәn,n. a facility equipped with special equipment and personnel for a particular purpose\nn. (nautical) the location to which a ship or fleet is assigned for duty\nn. the frequency assigned to a broadcasting station\nv. assign to a station,"n. 车站, 站, 局, 驻地, 位置, 身分, 地位\nvt. 安置, 配置, 驻扎\n[计] 站",,4,1,zk gk ielts,736,841,s:stations/d:stationed/i:stationing/p:stationed/3:stations
statistics,stә'tistiks,n. a branch of applied mathematics concerned with the collection and interpretation of quantitative data and the use of probability theory to estimate population parameters,"n. 统计学, 统计资料\n[计] 统计信息",,,,gk cet4 cet6 ky toefl ielts,2602,2709,
statue,'stætju,n. a sculpture representing a human or animal,vt. 以雕像装饰\nn. 雕像,,2,1,gk cet4 cet6 ky toefl ielts,4519,3872,s:statues
status,'steitәs,n. the relative position or standing of things or especially persons in a society,"n. 状态, 情形, 地位, 要人身份\n[计] 状态",,4,1,gk cet4 cet6 ky toefl ielts gre,1137,1215,
stay,stei,n. continuing or remaining in a place or state\nn. a judicial order forbidding some action until an event occurs or the order is lifted\nn. a thin strip of metal or bone that is used to stiffen a garment (e.g. a corset)\nn. (nautical) brace consisting of a heavy rope or wire cable used as a support for a mast or spar,"n. 停留, 逗留, 制止, 延缓, 停止, 支柱, 支撑物, 支索\nvt. 制止, 延缓, 坚持, 支持, 支撑, 用支索固定\nvi. 停留, 逗留, 暂停, 坚持, 中止",,5,1,zk gk,549,409,p:stayed/i:staying/d:stayed/3:stays/s:stays
steady,'stedi,v. make steady\na. not subject to change or variation especially in behavior\ns. securely in position; not shaky\ns. not easily excited or upset,"a. 稳定的, 不动摇的, 沉着的, 稳固的, 坚定的, 经常的\nvt. 使稳定, 使坚定\nvi. 变为沉着, 稳固",,3,1,gk cet4 cet6 ky toefl ielts,2922,2914,p:steadied/i:steadying/d:steadied/r:steadier/3:steadies/t:steadiest
steak,steik,n. a slice of meat cut from the fleshy part of an animal or large fish,"n. 牛排, 鱼排, 肉排",,2,,gk cet6 ky toefl ielts,7171,4634,s:steaks
steal,sti:l,n. a stolen base; an instance in which a base runner advances safely during the delivery of a pitch (without the help of a hit or walk or passed ball or wild pitch)\nv. take without the owner's consent\nv. move stealthily\nv. steal a base,vt. 剽窃；偷偷地做；偷窃；vi. 窃取；偷偷地行动；[棒球]偷垒；n. [口]偷窃；便宜货；偷垒；[篮球]断球,,3,1,zk gk cet4 cet6 ky toefl,1891,1784,d:stolen/p:stole/i:stealing/3:steals
steam,sti:m,n. water at boiling temperature diffused in the atmosphere\nv. emit steam\nv. rise as vapor\nv. get very angry,"n. 蒸汽, 精力\na. 蒸汽的\nvi. 蒸发, 行驶, 发怒\nvt. 蒸, 煮, 散发",,3,1,gk cet4 cet6 ky toefl ielts,2756,4139,i:steaming/p:steamed/d:steamed/s:steams/3:steams
steel,sti:l,"n. an alloy of iron with small amounts of carbon; widely used in construction; mechanical properties can be varied over a wide range\nn. knife sharpener consisting of a ridged steel rod\nv. get ready for something difficult or unpleasant\nv. cover, plate, or edge with steel","n. 钢, 钢制品, 钢铁, 坚硬, 坚固\na. 钢的, 钢制的, 钢铁业的, 坚强的\nvt. 使坚强, 钢化, 使冷酷",,3,1,zk gk cet4 cet6 ky ielts,2282,2152,p:steeled/s:steels/i:steeling/d:steeled/3:steels
steep,sti:p,n. a steep place (as on a hill)\nv. devote (oneself) fully to\nv. let sit in a liquid to extract a flavor or to cleanse\na. having a sharp inclination,"n. 浸渍, 悬崖\na. 险峻的, 陡峭的, 急剧升降的, 夸大的\nv. 浸, 泡",,2,1,gk cet4 cet6 ky toefl ielts gre,3793,3973,r:steeper/d:steeped/t:steepest/i:steeping/p:steeped/3:steeps
step,step,n. the act of changing location by raising the foot and setting it down\nn. support consisting of a place to rest the foot while ascending or descending a stairway\nn. a short distance\nn. a solid block joined to the beams in which the heel of a ship's mast or capstan is fixed,"n. 步骤, 步, 步幅, 脚步声, 踏级, 步伐, 短距离, 步态, 手段, 等级\nvt. 踏, 以步测量, 跨步, 使成阶梯状\nvi. 跨步, 轻快地走, 跳舞, 踩, 踏上, 行走\n[计] 步骤",,5,1,zk gk cet4 cet6 ky,720,587,s:steps/p:stepped/i:stepping/d:stepped/3:steps
steward,'stju:wәd,n. someone who manages property or other affairs for someone else\nn. the ship's officer who is in charge of provisions and dining arrangements\nn. an attendant on an airplane,"n. 管理人, 招待员, 管家, 乘务员\n[经] 轮船, 飞机的服务员, (财务)管理员",,2,,gk cet4 cet6 ky ielts,4750,10595,s:stewards/i:stewarding/p:stewarded
stewardess,'stju:wәdis,n. a woman steward on an airplane,"n. 空中小姐, 女管理人, 女管家",,,,gk cet4 cet6,22477,17096,s:stewardesses
stick,stik,n. an implement consisting of a length of wood\nn. a small thin branch of a tree\nn. a lever used by a pilot to control the ailerons and elevators of an airplane\nn. a rectangular quarter pound block of butter or margarine,"n. 棍, 棒, 刺, 枯枝, 茎, 条状物\nvt. 插进, 刺入, 钉住, 伸出, 粘贴, 停止\nvi. 粘住, 停留, 坚持, 陷住, 伸出",,3,1,zk gk cet4 cet6 ky toefl ielts,1545,1209,p:stuck/i:sticking/d:stuck/s:sticks/3:sticks
still,stil,n. a static photograph (especially one taken from a movie and used for advertising purposes)\nn. an apparatus used for the distillation of liquids; consists of a vessel in which a substance is vaporized by heat and a condenser where the vapor is condensed\nv. lessen the intensity of or calm\nv. make motionless,"n. 蒸馏室, 寂静, 剧照\nv. 蒸馏, (使)平静, (使)静止\na. 静止的, 不动的, 静寂的, 不起泡的, 静物摄影的\nadv. 仍然, 更, 静止地\nconj. 然而, 但是",,5,1,zk gk toefl,112,126,s:stills/i:stilling/p:stilled/3:stills/d:stilled
stocking,'stɒkiŋ,n. close-fitting hosiery to cover the foot and leg; come in matched pairs (usually used in the plural)\nn. the activity of supplying a stock of something,n. 长袜\n[医] 马足水肿; 长袜,,1,,gk cet4 cet6 ky,6503,8355,0:stock/1:i/s:stockings/i:stocking
stomach,'stʌmәk,n. an enlarged and muscular saclike organ of the alimentary canal; the principal organ of digestion\nn. an inclination or liking for things involving conflict or difficulty or unpleasantness\nn. an appetite for food\nv. bear to eat,"n. 胃, 食欲, 欲望, 肚子\nvt. 吃下, 忍受",,3,1,zk gk cet4 cet6 ky toefl ielts gre,2661,2503,s:stomachs/i:stomaching/p:stomached/3:stomaches/d:stomached
stomachache,'stʌmәkeik,n. an ache localized in the stomach or abdominal region,"n. 胃痛, 肚子痛",,,,gk,0,25221,
stone,stәun,n. building material consisting of a piece of rock hewn in a definite shape for a special purpose\nn. an avoirdupois unit used to measure the weight of a human body; equal to 14 pounds\nn. the hard inner (usually woody) layer of the pericarp of some fruits (as peaches or plums or cherries or olives) that contains the seed\nn. United States jurist who was named chief justice of the United States Supreme Court in 1941 by Franklin D. Roosevelt (1872-1946),"n. 石头, 宝石, 果核, 纪念碑, 结石\nvt. 投扔石子, 铺石头\na. 石的, 石制的, 完全的",,4,1,zk gk cet4 cet6 ky ielts,888,1220,s:stones/d:stoned/p:stoned/i:stoning/3:stones
stop,stɒp,n. the event of something ending\nn. the act of stopping something\nn. a brief stay in the course of a journey\nn. a spot where something halts or pauses,"n. 停止, 车站, 逗留, 填塞, 障碍, (风琴的)音栓\nvi. 停止, 被塞住\nvt. 塞住, 堵塞, 阻止, 击落, 停止, 终止, 断绝",,5,1,zk gk,359,329,p:stopped/d:stopped/i:stopping/3:stops/s:stops
stopwatch,'stɒpwɒtʃ,n. a timepiece that can be started or stopped for exact timing (as of a race),"n. 计时表, 码表",,,,gk,34023,20916,
storage,'stɒ:ridʒ,n. the act of storing something\nn. the commercial enterprise of storing goods and materials\nn. (computer science) the process of storing information in a computer memory or on a magnetic tape or disk,"n. 存储器, 储藏, 保管, 库存, 仓库\n[计] 存放处; 存储",,2,,gk cet4 cet6 ky toefl ielts,2703,2941,s:storages
store,stɒ:,n. a supply of something available for future use\nv. keep or lay aside for future use\nv. find a place for and put away for storage,"n. 商店, 贮藏, 仓库, 备用品, 存储器\nvt. 储存, 贮藏, 供给\nvi. 贮藏\na. 贮藏的, 现成的\n[计] 存储器操作; 存储",,4,1,zk gk ielts,1583,700,s:stores/d:stored/p:stored/i:storing/3:stores
storm,stɒ:m,n. a violent weather condition with winds 64-72 knots (11 on the Beaufort scale) and precipitation and thunder and lightning\nn. a violent commotion or disturbance\nn. a direct and violent assault on a stronghold\nv. take by force,"n. 暴风雨, 骚动, 风波, 风暴, 猛攻\nvi. 起风, 猛冲, 怒吼\nvt. 猛攻",,3,1,zk gk cet4 cet6 ky toefl,2871,1656,s:storms/p:stormed/i:storming/d:stormed/3:storms
story,'stɒ:ri,n. a piece of fiction that narrates a chain of related events,"n. 故事, 小说, 传奇, 描述, 阅历, 经历, 层",,5,1,zk gk ielts,542,233,s:stories
stout,staut,n. a strong very dark heavy-bodied ale made from pale malt and roasted unmalted barley and (often) caramel malt with hops\nn. a garment size for a large or heavy person,a. 结实的；矮胖的；勇敢的；激烈的\nn. 矮胖子；烈性啤酒,,1,,gk cet6 toefl gre,9786,13326,r:stouter/t:stoutest/s:stouts
stove,stәuv,n. a kitchen appliance used for cooking food\nn. any heating apparatus,"n. 火炉, 窑\nvt. 用火炉烤\nstave的过去式和过去分词",,1,1,gk cet4 cet6 ky toefl,6609,4388,s:stoves/d:stoved/p:stoved/0:stove/1:p
straight,streit,n. a poker hand with 5 consecutive cards (regardless of suit)\ns. successive (without a break)\na. having no deviations\na. (of hair) having no waves or curls,"n. 直线, 直\na. 直的, 笔直的, 正直的, 直接的, 连续的, 整齐的\nadv. 直接地, 立即, 不断地",,4,1,gk toefl,1598,1634,r:straighter/s:straights/t:straightest
straightforward,streit'fɒ:wәd,s. free from ambiguity\ns. pointed directly ahead,"a. 笔直的, 率直的, 明确的, 简单的, 直接的",,2,,gk cet6 ky ielts gre,3491,6187,
strait,streit,n. a narrow channel of the sea joining two larger bodies of water\ns. narrow,"n. 海峡, 困境\na. 困难的, 窘迫的, 狭窄的",,1,,gk cet6 toefl ielts gre,8841,12059,s:straits
strange,streindʒ,a. being definitely out of the ordinary and unexpected; slightly odd or even a bit weird\ns. not known before,"a. 奇怪的, 陌生的, 生疏的, 不熟悉的, 不可思议的, 外行的, 外地的, 异乡的",,4,1,zk gk,1397,1580,r:stranger/t:strangest
stranger,'streindʒә,n. anyone who does not belong in the environment in which they are found\nn. an individual that one is not acquainted with,"n. 陌生人, 门外汉\n[法] 局外人, 非当事人, 第三者",,2,1,zk gk cet4 cet6 ky,3225,2691,0:strange/1:r/s:strangers
straw,strɒ:,n. plant fiber used e.g. for making baskets and hats or as fodder\nn. a thin paper or plastic tube used to suck liquids into the mouth\nv. cover or provide with or as if with straw\ns. of a pale yellow color like straw; straw-colored,"n. 稻草, 麦管, 吸管, 一文不值的东西, 草帽\na. 稻草的, 稻草色的, 琐碎的, 无价值的",,2,,gk cet4 cet6 ky,4301,4730,s:straws/i:strawing/p:strawed/3:straws/d:strawed
strawberry,'strɒ:bәri,n. sweet fleshy red fruit\nn. any of various low perennial herbs with many runners and bearing white flowers followed by edible fruits having many small achenes scattered on the surface of an enlarged red pulpy berry\nn. a soft red birthmark,n. 草莓,,2,,zk gk cet4 cet6 ky,7842,5437,s:strawberries
stream,stri:m,"n. a natural body of running water flowing on or under the earth\nn. dominant course (suggestive of running water) of successive events or ideas\nn. something that resembles a flowing stream in moving continuously\nv. to extend, wave or float outward, as if in the wind","n. 水流, 小河, 流出, 趋势, 人潮\nvt. 流出, 流动, 展开\nvi. 流, 涌, 飘扬\n[计] 流",,3,1,zk gk cet4 cet6 ky gre,2467,2231,s:streams/i:streaming/p:streamed/d:streamed/3:streams
street,stri:t,n. a thoroughfare (usually including sidewalks) that is lined with buildings\nn. the part of a thoroughfare between the sidewalks; the part of the thoroughfare on which vehicles travel\nn. the streets of a city viewed as a depressed environment in which there is poverty and crime and prostitution and dereliction\nn. a situation offering opportunities,"n. 街道, 马路, 街区\na. 街道的",,5,1,zk gk ielts,380,554,s:streets
strength,streŋθ,n. the property of being physically or mentally strong\nn. the condition of financial success,"n. 力量, 实力, 强度, 浓度, 人数, 抵抗力\n[化] 强度",,4,1,gk cet4 cet6 ky toefl ielts,1194,1275,s:strengths
strengthen,'streŋθәn,v. make strong or stronger\nv. gain strength,"vt. 加强, 变坚固\nvi. 变强, 股票上涨",,3,,gk cet4 cet6 ky toefl ielts,2706,3074,d:strengthened/i:strengthening/p:strengthened/3:strengthens
stress,stres,n. the relative prominence of a syllable or musical note (especially with regard to stress or pitch)\nn. special emphasis attached to something\nn. difficulty that causes worry or emotional tension\nn. (physics) force that produces strain on a physical body,"n. 压力, 紧迫, 强调, 重音, 重点, 应力\nvt. 加压力于, 着重, 重读",,4,1,gk cet4 cet6 ky toefl ielts,2093,1731,p:stressed/d:stressed/3:stresses/i:stressing/s:stresses
strict,strikt,"s rigidly accurate; allowing no deviation from a standard\ns (of rules) stringently enforced\na characterized by strictness, severity, or restraint\ns incapable of compromise or flexibility\ns severe and unremitting in making demands","a. 严厉的, 绝对的, 详尽的, 严格的, 精确的\n[法] 严格的, 精确的, 绝对的",,3,1,zk gk cet4 cet6 ky toefl,3091,3553,r:stricter/t:strictest
strike,straik,"n. a group's refusal to work in protest against low pay or bad work conditions\nn. an attack that is intended to seize or inflict damage on or destroy an objective\nn. a score in tenpins: knocking down all ten with the first ball\nn. (baseball) a pitch that the batter swings at and misses, or that the batter hits into foul territory, or that the batter does not swing at but the umpire judges to be in the area over home plate and between the batter's knees and shoulders","n. 罢工, 打击, 殴打\nvt. 打, 撞击, 冲击, 侵袭, 取消, 结算, 打掉, 罢工, 刺透, 使生根, 遇见\nvi. 打, 打击, 抓, 罢工, 搏动, 触礁, 敲, 响, 穿透, 打动",,4,1,gk cet4 cet6 ky toefl ielts,1294,1145,p:struck/d:struck/s:strikes/3:strikes/i:striking
string,striŋ,"n. a lightweight cord\nn. a tightly stretched cord of wire or gut, which makes sound when plucked, struck, or bowed\nn. a sequentially ordered set of things or events or ideas in which each successive member is related to the preceding\nn. a linear sequence of symbols (characters or words or phrases)","n. 线, 细绳, 一串, 字符串\nvt. 串起, 成串, 收紧, 缚, 扎\nvi. 成一串\n[计] 字符串, 串",,3,1,gk cet4 cet6 ky toefl ielts,2170,2671,s:strings/d:strung/i:stringing/3:strings/p:strung
strong,strɒŋ,a. having strength or power greater than average or expected\ns. not faint or feeble\ns. of verbs not having standard (or regular) inflection\ns. freshly made or left,"a. 强壮的, 坚固的, 坚强的, 强烈的, 有力的, 优良的\nadv. 强劲地, 有力地, 猛烈地",,5,1,zk gk,506,458,r:stronger/t:strongest
struggle,'strʌgl,n. an energetic attempt to achieve something\nn. strenuous effort\nv. to exert strenuous effort against opposition,"n. 斗争, 努力, 奋斗\nvi. 努力, 奋斗, 挣扎",,4,1,gk cet4 cet6 ky toefl,2047,1669,i:struggling/p:struggled/s:struggles/d:struggled/3:struggles
stubborn,'stʌbәn,a. tenaciously unwilling or marked by tenacious unwillingness to yield,"a. 顽固的, 不听话的, 执拗的, 棘手的",,2,,gk cet6 ky toefl ielts gre,9547,7548,
student,'stju:dnt,n. a learner who is enrolled in an educational institution,"n. 学生, 研究者, 学者",,5,1,zk gk ielts,432,157,s:students
studio,'stju:diәu,n. workplace for the teaching or practice of an art\nn. workplace consisting of a room or building where movies or television shows or radio programs are produced and recorded,"n. 工作室, 画室, 演播室, 电影制片厂",,4,1,gk cet6 ky toefl ielts gre,1191,1515,s:studios
study,'stʌdi,n. applying the mind to learning and understanding a subject (especially by reading)\nn. a state of deep mental absorption\nn. a room used for reading and writing and studying\nn. someone who memorizes quickly and easily (as the lines for a part in a play),"n. 学习, 研究, 学科, 论文, 求学, 书房, 试作\nvt. 学习, 读书, 研究, 考虑, 计划\nvi. 学习, 思索",,5,1,zk gk ielts,270,240,s:studies/i:studying/d:studied/p:studied/3:studies
stupid,'stju:pid,n. a person who is not very bright\na. lacking or marked by lack of intellectual acuity,"a. 愚蠢的, 麻木的",,3,1,zk gk cet4 cet6 ky,2558,2704,
style,stail,n. a particular kind (as to appearance)\nn. (botany) the narrow elongated part of the pistil between the ovary and the stigma\nn. editorial directions to be followed in spelling and punctuation and capitalization and typographical display\nn. a slender bristlelike or tubular process,"n. 风格, 时尚, 文体, 风度, 字体, 类型\nvt. 称呼, (根据新款式)设计, 使合潮流\nn. 风格, 样式\n[计] 风格, 样式",,4,1,gk cet4 cet6 ky ielts,790,968,s:styles/d:styled/p:styled/i:styling/3:styles
subject,'sʌbdʒekt,n. the subject matter of a conversation or discussion\nn. something (a person or object or scene) selected by an artist or photographer for graphic representation\nn. (grammar) one of the two main constituents of a sentence; the grammatical constituent about which something is predicated\nn. a person who is subjected to experimental or other observational procedures; someone who is an object of investigation,"n. 科目, 主题, 臣民, 主语, 题目, (事物的)经受者, 学科, 受治疗者, 原因, 理由\na. 服从的, 易患...的, 隶属的, 受支配的\nadv. 在...条件下\nvt. 使隶属, 使受到\n[计] 主题, 主体",,4,1,gk ielts gre,358,670,s:subjects/d:subjected/i:subjecting/p:subjected/3:subjects
subjective,sәb'dʒektiv,a. taking place within the mind and modified by individual bias,"a. 主观的, 个人的\n[医] 主观的, 自觉的",,1,,gk cet6 ky ielts gre,5186,5947,
submit,sәb'mit,v. refer for judgment or consideration\nv. put before\nv. yield to the control of another\nv. yield to another's wish or opinion,"vt. 使服从, 使受到, 委托, 提交, 认为\nvi. 屈服, 服从",,2,,gk cet4 cet6 ky toefl ielts gre,2259,3184,d:submitted/p:submitted/i:submitting/3:submits
subscribe,sәb'skraib,"v. offer to buy, as of stocks and shares\nv. adopt as a belief\nv. receive or obtain regularly","vt. 捐献, 签署\nvi. 赞成, 同意, 捐款, 预订, 认购\n[计] 订阅",,1,,gk cet6 ky ielts gre,6864,7979,d:subscribed/i:subscribing/p:subscribed/3:subscribes
substitute,'sʌbstitju:t,n. a person or thing that takes or can take the place of another\nn. an athlete who plays only when a starter on the team is replaced\nv. put in the place of another; switch seemingly equivalent items\nv. be a substitute,"n. 代理, 代理人, 代用品, 代替者, 代替物\nvt. 代替\nvi. 替代, 取代, 代用\na. 代替的, 代用的, 代用品的\n[计] 置换; 替代",,3,1,gk cet4 cet6 ky toefl ielts gre,4548,5613,s:substitutes/d:substituted/i:substituting/p:substituted/3:substitutes
subtraction,sәb'trækʃәn,n. an arithmetic operation in which the difference between two numbers is calculated\nn. the act of subtracting (removing a part from the whole),n. 减少\n[计] 减法,,,,gk toefl,21520,21980,s:subtractions
succeed,sәk'si:d,v. attain success or reach a desired goal\nv. be the successor (of),"vi. 成功, 继承, 继续\nvt. 继承, 接替",,4,1,zk gk cet4 cet6 ky toefl,1741,2018,d:succeeded/p:succeeded/3:succeeds/i:succeeding
success,sәk'ses,n. an event that accomplishes its intended purpose\nn. an attainment that is successful\nn. a state of prosperity or fame,"n. 成功, 成就, 胜利",,4,1,zk gk cet4 cet6 ky,705,777,s:successes
successful,sәk'sesful,a. having succeeded or being marked by a favorable outcome,"a. 成功的, 一帆风顺的, 顺利的\n[经] 成功的",,4,1,zk gk cet4 cet6 ky toefl ielts,915,1101,
